id,city,state,country
2364e800-0a31-4d85-801b-e1f1e2e3f70a,Phoenix,Arizona,United States
c35f3057-578f-4453-8bab-555ec17b91ad,Xi'an,Shaanxi,China
fdc443d4-9865-46bc-9203-829cdeccf0c2,Porto Alegre,Rio Grande do Sul,Brazil
5b0cfb36-ac00-45d0-8b4f-3bd4dc0d3c7c,Surat,Gujarāt,India
66b4f33d-dfd2-43b1-873f-19d7eb7176cd,Hechi,Guangxi,China
07e5139a-9a8a-4dee-b124-b0dc8c577f99,Abidjan,Abidjan,Côte D’Ivoire
13686e94-9963-433f-8ef6-b57230a32c62,Brasilia,Distrito Federal,Brazil
0628b523-8a05-4d88-97aa-3c3569419274,Ankara,Ankara,Turkey
21266ad5-fb93-444b-9256-8b62fe176f5f,Monterrey,Nuevo León,Mexico
acb3f120-43ba-4cc4-b60d-db6a76881673,Yokohama,Kanagawa,Japan
1de69864-a7f9-4284-8408-02319b78e455,Nanjing,Jiangsu,China
369a3ace-315d-4b80-84f6-fe732bf87036,Montreal,Québec,Canada
968f0752-e606-4275-b622-15e94143f8ab,Guiyang,Guizhou,China
3166e7df-cbb1-43d6-ae2f-3c15892d2c66,Recife,Pernambuco,Brazil
c4ee545e-6f54-4563-a6ca-a080fcd7516e,Seattle,Washington,United States
b6a7f064-83c4-4d5f-89bd-db17d19844fb,Harbin,Heilongjiang,China
592f3c68-74ce-441c-b533-7382e212ccc7,San Francisco,California,United States
0faa7d1e-12e8-44ea-8f5d-7e65feee5be9,Fortaleza,Ceará,Brazil
790b466d-a811-4274-a3c4-b5865b9c891c,Zhangzhou,Fujian,China
30bc18b2-4203-48a5-a645-3139f97ea6c8,Detroit,Michigan,United States
c0a5daaa-65f6-4e5e-8859-f434b609974b,Salvador,Bahia,Brazil
82fabdee-10d5-42e7-a58d-91730684d8ea,Busan,Busan,"Korea, South"
75380388-94dc-4adb-922e-3011990e4b4b,Johannesburg,Gauteng,South Africa
ca11718a-6d8b-46e1-8346-a185bfc899e7,Berlin,Berlin,Germany
8434b54b-fd01-4ab5-b3f4-22d30fcbc941,Algiers,Alger,Algeria
fc239fb9-f941-4e8c-a9c2-7b8741f25f4d,Rome,Lazio,Italy
4aa253ec-103f-4735-8160-5ab6360c4e25,Pyongyang,P’yŏngyang,"Korea, North"
feb7b3ba-8336-4bc7-840b-011a55c8e056,Medellin,Antioquia,Colombia
f418e370-1503-4f2a-a864-d3f93983e37e,Kabul,Kābul,Afghanistan
126cd350-2241-4b9e-a2c0-b0461928c148,Athens,Attikí,Greece
0d175cd0-f27f-4133-8966-063d48f29044,Nagoya,Aichi,Japan
3c7c1adb-5aac-4090-828f-591c88a5ead5,Cape Town,Western Cape,South Africa
d8635096-6f54-4f7e-a08a-cc9da8587d78,San Diego,California,United States
50d07b2f-a782-4364-910a-dd855d538e1e,Changchun,Jilin,China
477289b1-d8ac-458d-849c-34b907361ed3,Casablanca,Casablanca-Settat,Morocco
686e1b1e-d5d3-4482-a223-5340e3d2d5dc,Dalian,Liaoning,China
7744b174-be0b-4458-a4e9-40c66ef535dd,Cawnpore,Uttar Pradesh,India
c94ec9c8-d0a4-4ae8-995b-ae00896ae888,Kano,Kano,Nigeria
63f285d8-5e89-438a-9eb7-d411cfdcad54,Tel Aviv-Yafo,Tel Aviv,Israel
7e56b494-c9e2-40f1-af02-34a99710b016,Addis Ababa,Ādīs Ābeba,Ethiopia
8a30e334-f7f3-48e2-80af-bdc8725784b5,Curitiba,Paraná,Brazil
576836e1-0665-4c1e-a85c-160ec51bfe23,Zibo,Shandong,China
b53d693c-acb6-4886-a3ed-7deba6389765,Jeddah,Makkah al Mukarramah,Saudi Arabia
4c2f6202-94d9-4876-bf5c-5fc3c60a9e86,Nairobi,Nairobi City,Kenya
dc79076e-d4ac-4dbb-897f-59d50bab3ea9,Hangzhou,Zhejiang,China
2fe8b855-9831-49f1-9fc9-7d72d4f84b62,Benoni,Gauteng,South Africa
ca23c9b4-7eb7-4ee8-ac96-dda5ed56f72c,Caracas,Distrito Capital,Venezuela
d12bb27b-e82d-4275-a7ee-55ef9e825f53,Milan,Lombardy,Italy
e1d4b628-3409-49ec-9c6e-88a96abd8b28,Stuttgart,Baden-Württemberg,Germany
a3254f1e-0ae3-4bff-96e2-133a08a5fee2,Kunming,Yunnan,China
78a77db4-2013-426e-b54f-59c23e5b77a0,Dar es Salaam,Dar es Salaam,Tanzania
8ca42d34-1617-466e-a851-6283503eca47,Minneapolis,Minnesota,United States
fea397b1-9457-4b1a-80aa-9dc2a7a43ab1,Jaipur,Rājasthān,India
e8be8012-6ae0-41d0-a103-5f6efc421289,Taiyuan,Shanxi,China
ff01941f-bca3-4fe6-99a4-fcfb5ade0441,Frankfurt,Hesse,Germany
79e6d71a-a06b-43a4-9bf2-4d4172800f9b,Qingdao,Shandong,China
2fa0b90d-e9c6-4352-b0a4-d942adb582d0,Surabaya,Jawa Timur,Indonesia
5ac85f24-8e15-490f-9335-521386308817,Lisbon,Lisboa,Portugal
803f82e4-8b81-444e-93a6-9808e3463b88,Tampa,Florida,United States
2bfbe597-0c5f-41a0-9984-f2e4fe56ffff,Jinan,Shandong,China
89754504-b286-4440-a792-070d8e239cf8,Fukuoka,Fukuoka,Japan
97a5fadf-afb3-43bb-a80c-a00265f74e20,Campinas,São Paulo,Brazil
238d52b6-723f-4a27-8a43-75cbb5b4f0ab,Denver,Colorado,United States
cdf54032-3767-49c4-b045-b113fdb521bf,Kaohsiung,Kaohsiung,Taiwan
dd03ffbc-5a11-4730-adbc-228a54ec901a,Quezon City,Quezon,Philippines
2112e8ac-27fe-4891-90c4-d3ab48c2cafb,Katowice,Śląskie,Poland
ad58ed07-2394-4ba8-91a9-fead5aad12df,Aleppo,Ḩalab,Syria
1d095ab3-5adc-41d6-b249-e7f78d03e3a8,Durban,KwaZulu-Natal,South Africa
effd3b23-385f-4617-9538-b7b5ea934d8a,Kyiv,"Kyyiv, Misto",Ukraine
5bc6e428-4355-4741-9e8f-089474843c6e,Lucknow,Uttar Pradesh,India
c8c9a560-b63d-4860-a7b0-87e09da9485b,Giza,Al Jīzah,Egypt
8a9ddaaf-9c5f-4424-b26b-8f8684496569,Zhengzhou,Henan,China
9a2fcf68-34b6-4d24-b699-783aed57b163,Taichung,Taichung,Taiwan
78ef7cdc-136b-48c2-9e12-0892fd445d63,Brooklyn,New York,United States
6474f8ab-c74b-4b94-b694-f8b42601eeb0,Ibadan,Oyo,Nigeria
87c8bc97-ec27-433a-8a1b-b1c62238cfa2,Faisalabad,Punjab,Pakistan
b85bff38-ef7b-4d01-8a1d-5ee285f61e88,Fuzhou,Fujian,China
c2beb224-ed73-443e-9e97-b1195f2ec93a,Changsha,Hunan,China
1d7483e7-990c-412a-a0b7-6aee06b76b8d,Dakar,Dakar,Senegal
21ad5324-b970-4a59-8fce-47744459dc44,Izmir,İzmir,Turkey
7f664c76-f003-4c15-a7ac-3196365e39bb,Xiangtan,Hunan,China
72625cde-800d-431e-8550-68f90a4a1a9a,Lanzhou,Gansu,China
14782a05-b374-41bc-b30d-0f4285039503,Incheon,Incheon,"Korea, South"
436ee85a-6ca1-4f04-9515-98f41d831098,Sapporo,Hokkaidō,Japan
85fdd74a-fb30-4842-af53-b2f5e1dd0069,Xiamen,Fujian,China
c958b169-2ff9-43ee-b4e4-709346ae4166,Guayaquil,Guayas,Ecuador
0d6f5996-73da-4a34-8ff5-d81333870bfc,George Town,Pulau Pinang,Malaysia
bdb14ea5-6286-4a5c-a7db-070c25c2f2b1,Mashhad,Khorāsān-e Raẕavī,Iran
4e7e5844-6f72-4539-ac73-e5e8c8c2f0d5,Damascus,Dimashq,Syria
188fb102-e980-433a-b92f-cfd239513b7e,Daegu,Daegu,"Korea, South"
7cc6f972-2b48-4ea4-b1f0-39db479f45c8,Nagpur,Mahārāshtra,India
8a0c84df-e783-4d06-89de-6a68a0caa58f,Lianshan,Liaoning,China
0e2c9f2d-3fe1-444f-8029-0277a9d4ca9c,Shijiazhuang,Hebei,China
a263d013-3ebc-4738-a9e1-515d2c163dc5,Tunis,Tunis,Tunisia
bfb7f84d-7023-44ed-a7ad-534009fd4d38,Vienna,Wien,Austria
c810156a-9bb2-4d63-9ece-5517863d2c90,Jilin,Jilin,China
c2c4b8dd-d38b-4bb8-85ad-3e665f4f81d8,Omdurman,Khartoum,Sudan
f27add70-6fef-4fc0-8931-43afdfc88308,Bandung,Jawa Barat,Indonesia
5b7fbb16-edcb-40d9-af9b-0049ae7a27d5,Bekasi,Jawa Barat,Indonesia
4b3c613e-8fd6-4d37-b816-f384d077b011,Mannheim,Baden-Württemberg,Germany
7398c1d8-f8d9-4246-9bec-2f417cd4be4e,Nanchang,Jiangxi,China
a1a2611b-7705-40f3-98f2-a8e5ffe791f8,Wenzhou,Zhejiang,China
1474a16f-aede-4d7b-842a-36399f4ccff0,Queens,New York,United States
7761863d-b72a-437c-a15a-1cb8296f94c5,Vancouver,British Columbia,Canada
893bf306-2cc7-443b-b7ff-c49403cda260,Birmingham,Birmingham,United Kingdom
5ba61dfe-8de3-431f-aad8-2764257be262,Cali,Valle del Cauca,Colombia
f55354fd-a383-4fe6-82c8-46d610c02037,Naples,Campania,Italy
3fdfe011-f256-4000-87b9-2f9992a38258,Sendai,Miyagi,Japan
e470faa9-e004-452f-a63f-fc8a09a074aa,Manchester,Manchester,United Kingdom
08c9e890-e23b-4e36-95e7-bb3ef704c9d4,Puebla,Puebla,Mexico
3ccb9ac9-66b3-4e3b-8161-5d9c7a760b3a,Tripoli,Ţarābulus,Libya
7c58380e-68f3-457f-bc3b-208d932d2337,Tashkent,Toshkent,Uzbekistan
66007901-924d-4ae1-88b2-31cd22d98bc6,Havana,La Habana,Cuba
4a14850d-1057-49b0-a942-2947e46dde38,Gaoping,Sichuan,China
22cc681e-f133-4829-9a2d-fd6dd32dfd90,Baltimore,Maryland,United States
c92b8ce2-6b58-49f1-882c-b6225af48bd3,Nanning,Guangxi,China
2a57c930-4407-4494-9cb9-665989992d9a,Belem,Pará,Brazil
6846585a-b739-4207-a637-a96c36b13ee7,Patna,Bihār,India
96129c7f-8903-4553-97d6-a0c7886fd8fb,Santo Domingo,Ozama,Dominican Republic
3a31ef46-32c5-45ad-a833-2885244c98e3,Urumqi,Xinjiang,China
dc4a84ac-9ccd-4861-bdb1-a6e8035b9adb,Zaozhuang,Shandong,China
8c00a93d-040a-42c3-8eb1-e0f9872697c0,Baku,Bakı,Azerbaijan
cc5e8734-67e7-4bfd-a45d-70a09fef727e,Accra,Greater Accra,Ghana
3c34c13a-94c5-4199-a0e5-ebfc86a1a845,Yantai,Shandong,China
6486ab5c-296e-4d34-a74f-0274e03417a6,Medan,Sumatera Utara,Indonesia
e31da76a-3f15-4e22-a040-fe3a4a0ab465,Santa Cruz,Santa Cruz,Bolivia
